question,answer,url
Hi Hey,"Hello, How are you? ",
What's your name?,My name is FitBot,
Who is your father?,"Technically speaking, Team Hydra Stealth",
What is malaria?,"Malaria is disease caused by a plasmodium parasite, transmitted by the bite of infected mosquitoes.",
What is dengue?,Dengue is a mosquito-borne viral disease occurring in tropical and subtropical areas.,
What is BMI?,"The body mass index (BMI) or Quetelet index is a value derived from the mass (weight) and height of an individual. The BMI is defined as the body mass divided by the square of the body height, and is universally expressed in units of kg/m2, resulting from mass in kilograms and height in metres.",
I am having headache,From how days?,
one,It might be due to lack of sleep. Sleep for sometime. It will be fine,
two three four,Go for eyesight checkup. If it is normal then consult a doctor.,
Whai is yoga?,"Yoga is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India",
Thanks,You are welcome,
Flat Belly or Weight LossTips,-Say bye-bye to fizzy drinks. -Ditch raw vegetables. -Cut the salt  -Probiotic yogurt  -Drink more fluids  -Avoid the gum  -Chuck the carbs -Eat fiber,
What's up?,The sky is up. You fool human!!!,
I am fine,Good to know,
Padmasana  Lotus Pose,Padmasana (Lotus Pose) is the most easy and suitable asana for contemplation and meditation.,
Yoga Poses,1)Lotus Position  2)Handstand  3)Shavasana  4)Adho mukha  5)Bhujangasana  6) Bālāsana 7) Vriksasana,
Can hypertension lead to diabetes?,"High blood pressure (hypertension) can lead to and make worse many complications of diabetes, including diabetic eye disease and kidney disease. ... Atherosclerosis can cause high blood pressure, which if not treated, can lead to blood vessel damage, stroke, heart failure, heart attack, or kidney failure.",
Can diabetes cause high blood pressure?,"Diabetes also affects the arteries, making them more likely to develop atherosclerosis, or narrowing of the arteries. Atherosclerosis can cause high blood pressure, which if not treated, can lead to blood vessel damage, stroke, heart failure, heart attack or kidney failure",
What is a normal blood pressure reading?,"For a normal reading, your blood pressure needs to show a top number that's between 90 and 120, and a bottom number that's between 60 and 80. When both your systolic and diastolic numbers are in these ranges, you're considered by the American Heart Association (AHA) to be within the normal range for blood pressure.",
What are the signs and symptoms of hypertension?,High Blood Pressure (Hypertension) Symptoms and Signs**Blood in the Urine.**Blurred Vision.**Chest Pain.**Decreased Urine Output.**Dizziness.**Headache.**Leg Swelling.**Nosebleeds.,
What is the normal range for blood sugar?,"For someone without diabetes, a fasting blood sugar on awakening should be under 100 mg/dl. Before-meal normal sugars are 70–99 mg/dl. “Postprandial” sugars taken two hours after meals should be less than 140 mg/dl. ",
Who is your mother?,I don't have one,
Normal Body Temprature ,Normal Body Temprature  is 98.6°F (37°C),
Why does my nose keep bleeding?,"Nosebleeds are common due to the location of the nose on the face, and the large amount of blood vessels in the nose. The most common causes of nosebleeds are drying of the nasal membranes and nose picking (digital trauma), which can be prevented with proper lubrication of the nasal passages and not picking the nose.",
Hello,Hi. How are you?,
What is the cause of a sore throat?,"The most common causes of sore throats are viruses. Viral sore throats are often accompanied by other cold symptoms that may include a runny nose, cough, red or watery eyes, and sneezing. Other causes of sore throat include smoking, pollution or irritants in the air, allergies, and dry air.",
I am having sore throat,Gargle with warm salt water to help reduce swelling and relieve discomfort: Gargle at least once each hour with 1 tsp (5 g) of salt dissolved in 8 fl oz (240 mL) of warm water.,